SlowInstructions,n,SlowInstrKey.keys_raw,SlowInstrKey.rt_mean,SlowInstrKey.rt_raw,SlowInstrKey.rt_std,SlowInstrKey.started_mean,SlowInstrKey.started_raw,SlowInstrKey.started_std,SlowInstrKey.stopped_raw,SlowInstrText.started_mean,SlowInstrText.started_raw,SlowInstrText.started_std,SlowInstrText.stopped_raw,order
"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",1.0,'e',0.06679355353116989,0.06679355353116989,0.0,11.395819664001465,11.395819664001465,0.0,,11.395819664001465,11.395819664001465,0.0,,0.0
We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press E to continue,1.0,'e',0.5291601419448853,0.5291601419448853,0.0,11.498344421386719,11.498344421386719,0.0,,11.498344421386719,11.498344421386719,0.0,,1.0
"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",1.0,'e',0.2081817239522934,0.2081817239522934,0.0,12.065252304077148,12.065252304077148,0.0,,12.065252304077148,12.065252304077148,0.0,,2.0

extraInfo
participant,215
session,001
date,2021_Nov_21_1214
expName,InfinityThesisTest5
psychopyVersion,2021.2.3
frameRate,60.22183361558391
