FastInstructions,Statement,Correct,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,Instr1.started,Instr1.stopped,InstrResponse.keys,InstrResponse.rt,InstrResponse.started,InstrResponse.stopped,fixcross.started,fixcross.stopped,Fasttext.started,Fasttext.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",,,0,0,0,0,,,,,14.439650369924493,None,e,0.29828939004801214,16.423180709942244,None,,,,,,,,,,,,0,001,2021_Nov_20_1324,InfinityThesisTest5,2021.2.3,60.03691431682381,
"Each statement will appear on your screen for 5 seconds and you will have those 5 seconds to decide if it is true or false before the next statement appears. There will be a timer on your screen and a reminder when you have 2 seconds remaining. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press E to continue",,,0,1,1,1,,,,,16.772450978984125,None,e,0.5666272930102423,18.755769242998213,None,,,,,,,,,,,,0,001,2021_Nov_20_1324,InfinityThesisTest5,2021.2.3,60.03691431682381,
"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,0,2,2,2,,,,,19.35685163293965,None,e,0.24130296299699694,21.340838312986307,None,,,,,,,,,,,,0,001,2021_Nov_20_1324,InfinityThesisTest5,2021.2.3,60.03691431682381,
,An inch cannot go on forever,e,,,,,0,0,0,4,,,,,,,21.655895988922566,22.15608857292682,22.12271228793543,27.12356513098348,None,0,22.12271228793543,None,25.12402866319753,None,,0,001,2021_Nov_20_1324,InfinityThesisTest5,2021.2.3,60.03691431682381,
,Numbers are finite,i,,,,,0,1,1,3,,,,,,,27.62304644298274,28.12301626999397,28.12301626999397,None,i,1,28.12301626999397,27.62304644298274,None,None,2.2788225800031796,0,001,2021_Nov_20_1324,InfinityThesisTest5,2021.2.3,60.03691431682381,
,Time  goes on forever,e,,,,,0,2,2,2,,,,,,,30.42461527197156,30.924373019952327,30.9073940719245,None,e,1,30.9073940719245,None,None,None,1.0003108499804512,0,001,2021_Nov_20_1324,InfinityThesisTest5,2021.2.3,60.03691431682381,
,A minute is infinite,i,,,,,0,3,3,0,,,,,,,31.94036204391159,32.441172431921586,32.42471909895539,None,i,1,32.42471909895539,None,None,None,1.312855025054887,0,001,2021_Nov_20_1324,InfinityThesisTest5,2021.2.3,60.03691431682381,
,Space has an end,i,,,,,0,4,4,1,,,,,,,33.757867186912335,34.25764458591584,34.24133206298575,None,i,1,34.24133206298575,None,None,None,1.8502818219130859,0,001,2021_Nov_20_1324,InfinityThesisTest5,2021.2.3,60.03691431682381,
