selectBlock,SlowInstructions,Statement,Correct,FastInstructions,Blockselectloop.thisRepN,Blockselectloop.thisTrialN,Blockselectloop.thisN,Blockselectloop.thisIndex,SpeededBlock.thisRepN,SpeededBlock.thisTrialN,SpeededBlock.thisN,SpeededBlock.thisIndex,SlowBlock.thisRepN,SlowBlock.thisTrialN,SlowBlock.thisN,SlowBlock.thisIndex,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,SlowInstrText.started,SlowInstrText.stopped,SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrKey.started,SlowInstrKey.stopped,polygon.started,polygon.stopped,SlowText.started,SlowText.stopped,SlowKey.keys,SlowKey.corr,SlowKey.rt,SlowKey.started,SlowKey.stopped,Instr1.started,Instr1.stopped,InstrResponse.keys,InstrResponse.rt,InstrResponse.started,InstrResponse.stopped,fixcross.started,fixcross.stopped,Fasttext.started,Fasttext.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,EndStudyText.started,EndStudyText.stopped,endstudykey.keys,endstudykey.rt,endstudykey.started,endstudykey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",,,,0,0,0,1,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,14.601082614040934,None,e,0.8740968570346013,14.601082614040934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2021_Nov_17_1411,InfinityThesisTest5,2021.2.3,60.26843030771143,
2,We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press E to continue,,,,0,0,0,1,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,15.51767462596763,None,e,1.8584224289515987,15.51767462596763,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2021_Nov_17_1411,InfinityThesisTest5,2021.2.3,60.26843030771143,
2,"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,,0,0,0,1,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,17.417342321015894,None,e,2.2166143080685288,17.417342321015894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2021_Nov_17_1411,InfinityThesisTest5,2021.2.3,60.26843030771143,
2,,A minute is infinite,i,,0,0,0,1,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,19.684211871935986,20.183417747961357,20.1685914399568,None,e,0,0.7596533630276099,19.684211871935986,None,,,,,,,,,,,,,,,,,,,,,,,,2,001,2021_Nov_17_1411,InfinityThesisTest5,2021.2.3,60.26843030771143,
2,,An inch cannot go on forever,e,,0,0,0,1,,,,,0,0,0,0,,,,,0,1,1,4,,,,,,,,,,,,,,,20.484026480000466,20.984910939005204,20.96765228000004,None,e,1,0.8285965480608866,20.484026480000466,None,,,,,,,,,,,,,,,,,,,,,,,,2,001,2021_Nov_17_1411,InfinityThesisTest5,2021.2.3,60.26843030771143,
2,,Numbers are finite,i,,0,0,0,1,,,,,0,0,0,0,,,,,0,2,2,3,,,,,,,,,,,,,,,21.3337665629806,21.834857904003,21.81792531698011,None,e,0,0.7568635750794783,21.3337665629806,None,,,,,,,,,,,,,,,,,,,,,,,,2,001,2021_Nov_17_1411,InfinityThesisTest5,2021.2.3,60.26843030771143,
2,,Time  goes on forever,e,,0,0,0,1,,,,,0,0,0,0,,,,,0,3,3,2,,,,,,,,,,,,,,,22.117611458990723,22.617958109942265,22.601381578017026,None,e,1,0.7600838149664924,22.117611458990723,None,,,,,,,,,,,,,,,,,,,,,,,,2,001,2021_Nov_17_1411,InfinityThesisTest5,2021.2.3,60.26843030771143,
2,,Space has an end,i,,0,0,0,1,,,,,0,0,0,0,,,,,0,4,4,1,,,,,,,,,,,,,,,22.901408529025503,23.402063151006587,23.38501503993757,None,e,0,0.7272115289233625,22.901408529025503,None,,,,,,,,,,,,,,,,,,,,,,,,2,001,2021_Nov_17_1411,InfinityThesisTest5,2021.2.3,60.26843030771143,
2,,,,,0,0,0,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2021_Nov_17_1411,InfinityThesisTest5,2021.2.3,60.26843030771143,
1,,,,"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",0,1,1,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,23.68553726701066,None,e,3.606558396946639,25.66869920794852,None,,,,,,,,,,,,,,,,,,2,001,2021_Nov_17_1411,InfinityThesisTest5,2021.2.3,60.26843030771143,
