Statement,Correct,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,fixedcross.started,fixedcross.stopped,Statement1.started,Statement1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Space has an end,i,0,0,0,3,10.73316451604478,11.232303370023146,11.316213701036759,None,e,0.21530893800081685,11.316213701036759,None,11,001,2021_Nov_03_1648,softwaretest1,2021.2.3,60.29395425190306,
Numbers are infinite,e,0,1,1,0,11.549832289048936,12.050065620045643,12.133435566036496,None,e,0.5956689289887436,12.133435566036496,None,11,001,2021_Nov_03_1648,softwaretest1,2021.2.3,60.29395425190306,
Time is endless,e,0,2,2,2,12.74827024602564,13.24939983105287,13.331747566000558,None,e,0.1454823610256426,13.331747566000558,None,11,001,2021_Nov_03_1648,softwaretest1,2021.2.3,60.29395425190306,
A minute is finite,e,0,3,3,1,13.499975013022777,13.999886422010604,14.083307187014725,None,e,0.005890730011742562,14.083307187014725,None,11,001,2021_Nov_03_1648,softwaretest1,2021.2.3,60.29395425190306,
