InstrResponse.keys,InstrResponse.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,session,date,expName,psychopyVersion,OS,frameRate
e,0.7713,0,0,0,0,1,"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",5183,001,2022-02-22_12h04.44.137,InfinityThesisTestFAST,2021.2.3,MacIntel,59.99880002
e,1.2674,0,1,1,1,1,"Each statement will appear on your screen for 5 seconds and you will have those 5 seconds to decide if it is true or false before the next statement appears. There will be a timer on your screen and a reminder when you have 2 seconds remaining. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press E to continue",5183,001,2022-02-22_12h04.44.137,InfinityThesisTestFAST,2021.2.3,MacIntel,59.99880002
