SlowInstructions,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrText.started,SlowInstrText.stopped,SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrKey.started,SlowInstrKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",0,0,0,0,13.89657850000367,None,e,1.498473962987191,13.89657850000367,None,0,001,2021_Dec_30_1631,InfinityThesisTest5,2021.2.3,60.29460243934815,
We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press E to continue,0,1,1,1,15.429616088993498,None,e,0.5685950350016356,15.429616088993498,None,0,001,2021_Dec_30_1631,InfinityThesisTest5,2021.2.3,60.29460243934815,
"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",0,2,2,2,16.06299796899839,None,e,0.3422559610044118,16.06299796899839,None,0,001,2021_Dec_30_1631,InfinityThesisTest5,2021.2.3,60.29460243934815,
"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. ",0,3,3,3,16.445748062993516,None,e,0.2573023510049097,16.445748062993516,None,0,001,2021_Dec_30_1631,InfinityThesisTest5,2021.2.3,60.29460243934815,
"If the statement is true, press the “E” key on your keyboard with your left pointer finger; if the statement is false, press the “I” key on your keyboard with your right pointer finger. Press E to continue",0,4,4,4,16.746330359004787,None,e,0.2957285970041994,16.746330359004787,None,0,001,2021_Dec_30_1631,InfinityThesisTest5,2021.2.3,60.29460243934815,
