Statement,Correct,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,fixedcross.started,fixedcross.stopped,Statement1.started,Statement1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Numbers are infinite,e,0,0,0,0,10.8296665159869,11.328316294995602,11.411916691984516,None,e,1.327865507977549,11.411916691984516,None,9,001,2021_Nov_03_1648,softwaretest1,2021.2.3,60.19099880301124,
Time is endless,e,0,1,1,2,12.778310402994975,13.278381481999531,13.361161628970876,None,e,0.21852752700215206,13.361161628970876,None,9,001,2021_Nov_03_1648,softwaretest1,2021.2.3,60.19099880301124,
