Statement,Correct,n,SlowKey.corr_mean,SlowKey.corr_raw,SlowKey.corr_std,SlowKey.keys_raw,SlowKey.rt_mean,SlowKey.rt_raw,SlowKey.rt_std,SlowKey.started_mean,SlowKey.started_raw,SlowKey.started_std,SlowKey.stopped_raw,SlowText.started_mean,SlowText.started_raw,SlowText.started_std,SlowText.stopped_raw,encouragekey.keys_raw,encouragekey.rt_mean,encouragekey.rt_raw,encouragekey.rt_std,encouragekey.started_raw,encouragekey.stopped_raw,encouragetext.started_raw,encouragetext.stopped_raw,key_resp_4.keys_raw,key_resp_4.rt_mean,key_resp_4.rt_raw,key_resp_4.rt_std,key_resp_4.started_mean,key_resp_4.started_raw,key_resp_4.started_std,key_resp_4.stopped_raw,polygon.started_mean,polygon.started_raw,polygon.started_std,polygon.stopped_mean,polygon.stopped_raw,polygon.stopped_std,text.started_mean,text.started_raw,text.started_std,text.stopped_raw,order
Humans can breathe water,j,1.0,1.0,1.0,0.0,'j',0.7320676445960999,0.7320676445960999,0.0,231.38107299804688,231.38107299804688,0.0,,230.88136291503906,230.88136291503906,0.0,,,,,,232.1309648907918,,232.1309648907918,,'space',0.06949405372142792,0.06949405372142792,0.0,232.13095092773438,232.13095092773438,0.0,,230.3983612060547,230.3983612060547,0.0,230.81495666503906,230.81495666503906,0.0,232.13095092773438,232.13095092773438,0.0,,67.0
Humans cannot eat food,j,1.0,1.0,1.0,0.0,'j',1.001818060874939,1.001818060874939,0.0,96.48919677734375,96.48919677734375,0.0,,95.9876480102539,95.9876480102539,0.0,,,,,,97.52223764979863,,97.52223764979863,,'space',0.10367043316364288,0.10367043316364288,0.0,97.52243041992188,97.52243041992188,0.0,,95.50386047363281,95.50386047363281,0.0,95.90413665771484,95.90413665771484,0.0,97.52243041992188,97.52243041992188,0.0,,12.0
A horse is used to tell time,j,1.0,1.0,1.0,0.0,'j',1.2398236989974976,1.2398236989974976,0.0,179.69400024414062,179.69400024414062,0.0,,179.1942901611328,179.1942901611328,0.0,,,,,,180.96032090680092,,180.96032090680092,,'space',0.1445246934890747,0.1445246934890747,0.0,180.96116638183594,180.96116638183594,0.0,,178.71070861816406,178.71070861816406,0.0,179.11090087890625,179.11090087890625,0.0,180.96116638183594,180.96116638183594,0.0,,49.0
A motorcycle is a person,j,1.0,1.0,1.0,0.0,'j',1.0507615804672241,1.0507615804672241,0.0,166.8098907470703,166.8098907470703,0.0,,166.3094482421875,166.3094482421875,0.0,,,,,,167.8919200648088,,167.8919200648088,,'space',0.07537983357906342,0.07537983357906342,0.0,167.893310546875,167.893310546875,0.0,,165.82704162597656,165.82704162597656,0.0,166.2260284423828,166.2260284423828,0.0,167.893310546875,167.893310546875,0.0,,42.0
A truck is an animal,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Jupiter is the planet we live on,j,1.0,1.0,1.0,0.0,'j',1.1315830945968628,1.1315830945968628,0.0,98.65441131591797,98.65441131591797,0.0,,98.1549072265625,98.1549072265625,0.0,,,,,,99.80484012278612,,99.80484012278612,,'space',0.12826114892959595,0.12826114892959595,0.0,99.80562591552734,99.80562591552734,0.0,,97.67230987548828,97.67230987548828,0.0,98.07279968261719,98.07279968261719,0.0,99.80562591552734,99.80562591552734,0.0,,13.0
The Earth is a star,j,1.0,1.0,1.0,0.0,'j',0.6783270239830017,0.6783270239830017,0.0,207.52976989746094,207.52976989746094,0.0,,207.02980041503906,207.02980041503906,0.0,,,,,,208.22858726180857,,208.22858726180857,,'space',0.10177980363368988,0.10177980363368988,0.0,208.22862243652344,208.22862243652344,0.0,,206.54620361328125,206.54620361328125,0.0,206.94619750976562,206.94619750976562,0.0,208.22862243652344,208.22862243652344,0.0,,58.0
Mississippi is a country,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
The president of the United States is Oprah,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
There are ninty states in the United States,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Humans can breathe water,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
A zebra is used to write,j,1.0,1.0,1.0,0.0,'j',0.6719483733177185,0.6719483733177185,0.0,236.8813934326172,236.8813934326172,0.0,,236.38174438476562,236.38174438476562,0.0,,,,,,237.58057118181023,,237.58057118181023,,'space',0.12719124555587769,0.12719124555587769,0.0,237.5808563232422,237.5808563232422,0.0,,235.9154052734375,235.9154052734375,0.0,236.31463623046875,236.31463623046875,0.0,237.5808563232422,237.5808563232422,0.0,,70.0

extraInfo
participant,215450
date,2022_Feb_16_1650
expName,Scientific and Linguistic Understanding
psychopyVersion,2021.2.3
frameRate,59.850982067831815
