Statement,Correct,n,SlowKey.corr_mean,SlowKey.corr_raw,SlowKey.corr_std,SlowKey.keys_raw,SlowKey.rt_mean,SlowKey.rt_raw,SlowKey.rt_std,SlowKey.started_mean,SlowKey.started_raw,SlowKey.started_std,SlowKey.stopped_raw,SlowText.started_mean,SlowText.started_raw,SlowText.started_std,SlowText.stopped_raw,encouragekey.keys_raw,encouragekey.rt_mean,encouragekey.rt_raw,encouragekey.rt_std,encouragekey.started_raw,encouragekey.stopped_raw,encouragetext.started_raw,encouragetext.stopped_raw,key_resp_4.keys_raw,key_resp_4.rt_mean,key_resp_4.rt_raw,key_resp_4.rt_std,key_resp_4.started_mean,key_resp_4.started_raw,key_resp_4.started_std,key_resp_4.stopped_raw,polygon.started_mean,polygon.started_raw,polygon.started_std,polygon.stopped_mean,polygon.stopped_raw,polygon.stopped_std,text.started_mean,text.started_raw,text.started_std,text.stopped_raw,order
Time is infinite,f,1.0,1.0,1.0,0.0,'f',0.3292580544948578,0.3292580544948578,0.0,263.01531982421875,263.01531982421875,0.0,,262.5157165527344,262.5157165527344,0.0,,,,,,263.3652396808029,,263.3652396808029,,'space',0.09897235780954361,0.09897235780954361,0.0,263.3656921386719,263.3656921386719,0.0,,262.0500793457031,262.0500793457031,0.0,262.4656677246094,262.4656677246094,0.0,263.3656921386719,263.3656921386719,0.0,,77.0
Time has an end,j,1.0,1.0,1.0,0.0,'j',0.4743707776069641,0.4743707776069641,0.0,229.79742431640625,229.79742431640625,0.0,,229.29791259765625,229.29791259765625,0.0,,,,,,230.29634060981334,,230.29634060981334,,'space',0.057402025908231735,0.057402025908231735,0.0,230.29830932617188,230.29830932617188,0.0,,228.8148956298828,228.8148956298828,0.0,229.21408081054688,229.21408081054688,0.0,230.29830932617188,230.29830932617188,0.0,,66.0
Time is endless,f,1.0,1.0,1.0,0.0,'f',0.5582712888717651,0.5582712888717651,0.0,115.33892059326172,115.33892059326172,0.0,,114.83875274658203,114.83875274658203,0.0,,'space',0.14915665984153748,0.14915665984153748,0.0,115.92189852299634,,115.92189852299634,,'space',2.1673765182495117,2.1673765182495117,0.0,116.08942413330078,116.08942413330078,0.0,,114.37193298339844,114.37193298339844,0.0,114.77183532714844,114.77183532714844,0.0,116.08942413330078,116.08942413330078,0.0,,20.0
Time cannot go on forever,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Time can go on forever,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Time cannot be further divided,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Time can be further divided,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Space is finite,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Space is infinite,f,1.0,1.0,1.0,0.0,'f',0.5250999331474304,0.5250999331474304,0.0,267.0675354003906,267.0675354003906,0.0,,266.5675048828125,266.5675048828125,0.0,,,,,,267.61664080180344,,267.61664080180344,,'space',0.11160571873188019,0.11160571873188019,0.0,267.6167907714844,267.6167907714844,0.0,,266.0828552246094,266.0828552246094,0.0,266.4841613769531,266.4841613769531,0.0,267.6167907714844,267.6167907714844,0.0,,79.0
Space has an end,j,1.0,1.0,1.0,0.0,'j',1.7008049488067627,1.7008049488067627,0.0,204.7287139892578,204.7287139892578,0.0,,204.22999572753906,204.22999572753906,0.0,,,,,,206.44637741780025,,206.44637741780025,,'space',0.07458152621984482,0.07458152621984482,0.0,206.44647216796875,206.44647216796875,0.0,,203.74575805664062,203.74575805664062,0.0,204.1462860107422,204.1462860107422,0.0,206.44647216796875,206.44647216796875,0.0,,57.0
Space is endless,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Space cannot go on forever,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Space can go on forever,f,1.0,1.0,1.0,0.0,'f',0.5381820797920227,0.5381820797920227,0.0,177.97775268554688,177.97775268554688,0.0,,177.47779846191406,177.47779846191406,0.0,,,,,,178.54431987079442,,178.54431987079442,,'space',0.1436985284090042,0.1436985284090042,0.0,178.5442352294922,178.5442352294922,0.0,,176.9938201904297,176.9938201904297,0.0,177.3944549560547,177.3944549560547,0.0,178.5442352294922,178.5442352294922,0.0,,48.0
Space cannot be further divided,j,1.0,1.0,1.0,0.0,'j',4.912674427032471,4.912674427032471,0.0,75.38741302490234,75.38741302490234,0.0,,74.88681030273438,74.88681030273438,0.0,,,,,,80.32021939879633,,80.32021939879633,,'space',0.44034796953201294,0.44034796953201294,0.0,80.319580078125,80.319580078125,0.0,,74.40371704101562,74.40371704101562,0.0,74.80394744873047,74.80394744873047,0.0,80.319580078125,80.319580078125,0.0,,7.0
Space can be further divided,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Numbers are finite,j,1.0,0.0,0.0,0.0,'f',0.514816164970398,0.514816164970398,0.0,137.84083557128906,137.84083557128906,0.0,,137.3415985107422,137.3415985107422,0.0,,,,,,138.37455838778988,,138.37455838778988,,'space',0.12535743415355682,0.12535743415355682,0.0,138.3740234375,138.3740234375,0.0,,136.85726928710938,136.85726928710938,0.0,137.2583770751953,137.2583770751953,0.0,138.3740234375,138.3740234375,0.0,,29.0
Numbers are infinite,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Numbers have an end,j,1.0,1.0,1.0,0.0,'j',2.790255069732666,2.790255069732666,0.0,156.75990295410156,156.75990295410156,0.0,,156.25938415527344,156.25938415527344,0.0,,,,,,159.57515991679975,,159.57515991679975,,'space',0.11808361858129501,0.11808361858129501,0.0,159.5749053955078,159.5749053955078,0.0,,155.77503967285156,155.77503967285156,0.0,156.17596435546875,156.17596435546875,0.0,159.5749053955078,159.5749053955078,0.0,,38.0
Numbers are endless,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Numbers cannot go on forever,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Numbers can go on forever,f,1.0,1.0,1.0,0.0,'f',0.8959579467773438,0.8959579467773438,0.0,160.72525024414062,160.72525024414062,0.0,,160.22564697265625,160.22564697265625,0.0,,,,,,161.64176097579184,,161.64176097579184,,'space',0.1793462038040161,0.1793462038040161,0.0,161.64263916015625,161.64263916015625,0.0,,159.7257080078125,159.7257080078125,0.0,160.12594604492188,160.12594604492188,0.0,161.64263916015625,161.64263916015625,0.0,,39.0
Numbers cannot be further divided,j,1.0,1.0,1.0,0.0,'j',2.3125734329223633,2.3125734329223633,0.0,254.63250732421875,254.63250732421875,0.0,,254.1326446533203,254.1326446533203,0.0,,,,,,256.9651843397878,,256.9651843397878,,'space',0.08639312535524368,0.08639312535524368,0.0,256.96649169921875,256.96649169921875,0.0,,253.6658935546875,253.6658935546875,0.0,254.0659637451172,254.0659637451172,0.0,256.96649169921875,256.96649169921875,0.0,,74.0
Numbers can be further divided,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Five is finite,f,1.0,1.0,1.0,0.0,'f',1.6126132011413574,1.6126132011413574,0.0,185.69491577148438,185.69491577148438,0.0,,185.19407653808594,185.19407653808594,0.0,,,,,,187.3274293007853,,187.3274293007853,,'space',0.12328896671533585,0.12328896671533585,0.0,187.3282012939453,187.3282012939453,0.0,,184.70999145507812,184.70999145507812,0.0,185.1118927001953,185.1118927001953,0.0,187.3282012939453,187.3282012939453,0.0,,52.0
Five is infinite,j,1.0,1.0,1.0,0.0,'j',0.6113547086715698,0.6113547086715698,0.0,123.68903350830078,123.68903350830078,0.0,,123.18917083740234,123.18917083740234,0.0,,,,,,124.32293574081268,,124.32293574081268,,'space',0.10051997750997543,0.10051997750997543,0.0,124.32365417480469,124.32365417480469,0.0,,122.7061767578125,122.7061767578125,0.0,123.10614013671875,123.10614013671875,0.0,124.32365417480469,124.32365417480469,0.0,,22.0
Five has an end,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Five is endless,j,1.0,1.0,1.0,0.0,'j',1.4563905000686646,1.4563905000686646,0.0,264.4661560058594,264.4661560058594,0.0,,263.9659118652344,263.9659118652344,0.0,,,,,,265.9491683357919,,265.9491683357919,,'space',0.11521710455417633,0.11521710455417633,0.0,265.9492492675781,265.9492492675781,0.0,,263.4992370605469,263.4992370605469,0.0,263.8990173339844,263.8990173339844,0.0,265.9492492675781,265.9492492675781,0.0,,78.0
Five cannot go on forever,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Five can go on forever,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Five cannot be further divided,j,1.0,1.0,1.0,0.0,'j',3.4254977703094482,3.4254977703094482,0.0,221.8477020263672,221.8477020263672,0.0,,221.36363220214844,221.36363220214844,0.0,,,,,,225.29680182080483,,225.29680182080483,,'space',0.05090656504034996,0.05090656504034996,0.0,225.29795837402344,225.29795837402344,0.0,,220.8793182373047,220.8793182373047,0.0,221.2803955078125,221.2803955078125,0.0,225.29795837402344,225.29795837402344,0.0,,63.0
Five can be further divided,f,1.0,1.0,1.0,0.0,'f',1.7254835367202759,1.7254835367202759,0.0,150.7261505126953,150.7261505126953,0.0,,150.2257537841797,150.2257537841797,0.0,,,,,,152.47504236278473,,152.47504236278473,,'space',0.14346812665462494,0.14346812665462494,0.0,152.47598266601562,152.47598266601562,0.0,,149.74252319335938,149.74252319335938,0.0,150.14276123046875,150.14276123046875,0.0,152.47598266601562,152.47598266601562,0.0,,36.0
Crocodiles are alive,f,1.0,1.0,1.0,0.0,'f',0.2331445962190628,0.2331445962190628,0.0,243.8656463623047,243.8656463623047,0.0,,243.36529541015625,243.36529541015625,0.0,,,,,,244.13117511878954,,244.13117511878954,,'space',0.1571725308895111,0.1571725308895111,0.0,244.13169860839844,244.13169860839844,0.0,,242.88201904296875,242.88201904296875,0.0,243.2978057861328,243.2978057861328,0.0,244.13169860839844,244.13169860839844,0.0,,72.0
Pelicans are alive,f,1.0,1.0,1.0,0.0,'f',0.4460891783237457,0.4460891783237457,0.0,104.78842163085938,104.78842163085938,0.0,,104.28816986083984,104.28816986083984,0.0,,,,,,105.25476222779253,,105.25476222779253,,'space',0.18562887609004974,0.18562887609004974,0.0,105.25491333007812,105.25491333007812,0.0,,103.78919982910156,103.78919982910156,0.0,104.20475769042969,104.20475769042969,0.0,105.25491333007812,105.25491333007812,0.0,,15.0
Turtles need nutrients,f,1.0,1.0,1.0,0.0,'f',0.3671627640724182,0.3671627640724182,0.0,226.3813934326172,226.3813934326172,0.0,,225.88096618652344,225.88096618652344,0.0,,,,,,226.77935085780337,,226.77935085780337,,'space',0.06692305952310562,0.06692305952310562,0.0,226.78103637695312,226.78103637695312,0.0,,225.3965606689453,225.3965606689453,0.0,225.79771423339844,225.79771423339844,0.0,226.78103637695312,226.78103637695312,0.0,,64.0
Tigers reproduce,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Frogs reproduce,f,1.0,1.0,1.0,0.0,'f',0.10486983507871628,0.10486983507871628,0.0,134.28993225097656,134.28993225097656,0.0,,133.78958129882812,133.78958129882812,0.0,,,,,,134.42284265780472,,134.42284265780472,,'space',0.14333203434944153,0.14333203434944153,0.0,134.42324829101562,134.42324829101562,0.0,,133.30682373046875,133.30682373046875,0.0,133.70687866210938,133.70687866210938,0.0,134.42324829101562,134.42324829101562,0.0,,27.0
Bricks can be put in a container,f,1.0,1.0,1.0,0.0,'f',0.5241128206253052,0.5241128206253052,0.0,107.87238311767578,107.87238311767578,0.0,,107.37284851074219,107.37284851074219,0.0,,,,,,108.42277974679018,,108.42277974679018,,'space',0.12479552626609802,0.12479552626609802,0.0,108.4233169555664,108.4233169555664,0.0,,106.88947296142578,106.88947296142578,0.0,107.28768920898438,107.28768920898438,0.0,108.4233169555664,108.4233169555664,0.0,,17.0
Dumbells are composed of matter,f,1.0,1.0,1.0,0.0,'f',1.0394350290298462,1.0394350290298462,0.0,183.511474609375,183.511474609375,0.0,,183.01129150390625,183.01129150390625,0.0,,,,,,184.57788434778922,,184.57788434778922,,'space',0.11584243178367615,0.11584243178367615,0.0,184.57882690429688,184.57882690429688,0.0,,182.52708435058594,182.52708435058594,0.0,182.92857360839844,182.92857360839844,0.0,184.57882690429688,184.57882690429688,0.0,,51.0
Concrete is composed of matter,f,1.0,1.0,1.0,0.0,'f',0.5272730588912964,0.5272730588912964,0.0,127.38981628417969,127.38981628417969,0.0,,126.88957977294922,126.88957977294922,0.0,,,,,,127.93981669979985,,127.93981669979985,,'space',0.1442899852991104,0.1442899852991104,0.0,127.93971252441406,127.93971252441406,0.0,,126.406005859375,126.406005859375,0.0,126.80643463134766,126.80643463134766,0.0,127.93971252441406,127.93971252441406,0.0,,24.0
Diamonds have a molecular structure,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Rocks have a molecular structure,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Clocks are alive,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Comets are alive,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Robots need nutrients,j,1.0,1.0,1.0,0.0,'j',0.8119757175445557,0.8119757175445557,0.0,227.8468017578125,227.8468017578125,0.0,,227.36312866210938,227.36312866210938,0.0,,,,,,228.6797328607936,,228.6797328607936,,'space',0.10175623744726181,0.10175623744726181,0.0,228.68089294433594,228.68089294433594,0.0,,226.86447143554688,226.86447143554688,0.0,227.28033447265625,227.28033447265625,0.0,228.68089294433594,228.68089294433594,0.0,,65.0
Sailboats reproduce,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Helicopters reproduce,j,1.0,1.0,1.0,0.0,'j',0.42138898372650146,0.42138898372650146,0.0,62.76914978027344,62.76914978027344,0.0,,62.26860046386719,62.26860046386719,0.0,,,,,,63.21800796780735,,63.21800796780735,,'space',0.3539949059486389,0.3539949059486389,0.0,63.21910095214844,63.21910095214844,0.0,,61.786346435546875,61.786346435546875,0.0,62.202880859375,62.202880859375,0.0,63.21910095214844,63.21910095214844,0.0,,2.0
Color can be put in a container,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Echoes are composed of matter,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Shadows are composed of matter,j,1.0,1.0,1.0,0.0,'j',0.9368302822113037,0.9368302822113037,0.0,162.82716369628906,162.82716369628906,0.0,,162.32687377929688,162.32687377929688,0.0,,,,,,163.79188222979428,,163.79188222979428,,'space',0.13278067111968994,0.13278067111968994,0.0,163.79225158691406,163.79225158691406,0.0,,161.8435821533203,161.8435821533203,0.0,162.2587127685547,162.2587127685547,0.0,163.79225158691406,163.79225158691406,0.0,,40.0
Music has a molecular structure,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Gravity has a molecular structure,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Algae is alive,f,1.0,1.0,1.0,0.0,'f',1.1297250986099243,1.1297250986099243,0.0,54.75114440917969,54.75114440917969,0.0,,54.25170135498047,54.25170135498047,0.0,,,,,,55.9013995777932,,55.9013995777932,,'space',0.7727389335632324,0.7727389335632324,0.0,55.90279006958008,55.90279006958008,0.0,,53.76784896850586,53.76784896850586,0.0,54.169986724853516,54.169986724853516,0.0,55.90279006958008,55.90279006958008,0.0,,0.0
Bacteria are alive,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Grass needs nutrients,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Oaks reproduce,f,1.0,1.0,1.0,0.0,'f',0.23309117555618286,0.23309117555618286,0.0,182.1117401123047,182.1117401123047,0.0,,181.611083984375,181.611083984375,0.0,,,,,,182.3772608198051,,182.3772608198051,,'space',0.12251023948192596,0.12251023948192596,0.0,182.3782196044922,182.3782196044922,0.0,,181.12757873535156,181.12757873535156,0.0,181.54486083984375,181.54486083984375,0.0,182.3782196044922,182.3782196044922,0.0,,50.0
Mushrooms reproduce,f,1.0,1.0,1.0,0.0,'f',1.2884241342544556,1.2884241342544556,0.0,70.93718719482422,70.93718719482422,0.0,,70.43680572509766,70.43680572509766,0.0,,,,,,72.2522610607848,,72.2522610607848,,'space',0.3742161691188812,0.3742161691188812,0.0,72.25232696533203,72.25232696533203,0.0,,69.9363784790039,69.9363784790039,0.0,70.33722686767578,70.33722686767578,0.0,72.25232696533203,72.25232696533203,0.0,,5.0
Bubbles can be put in a container,f,1.0,1.0,1.0,0.0,'f',1.0929293632507324,1.0929293632507324,0.0,135.5746612548828,135.5746612548828,0.0,,135.07327270507812,135.07327270507812,0.0,,,,,,136.69067435979377,,136.69067435979377,,'space',0.14021258056163788,0.14021258056163788,0.0,136.69142150878906,136.69142150878906,0.0,,134.59104919433594,134.59104919433594,0.0,134.99041748046875,134.99041748046875,0.0,136.69142150878906,136.69142150878906,0.0,,28.0
Foam is composed of matter,f,1.0,1.0,1.0,0.0,'f',0.7467217445373535,0.7467217445373535,0.0,125.43949127197266,125.43949127197266,0.0,,124.94029235839844,124.94029235839844,0.0,,,,,,126.20590155679383,,126.20590155679383,,'space',0.1778009980916977,0.1778009980916977,0.0,126.20622253417969,126.20622253417969,0.0,,124.45578002929688,124.45578002929688,0.0,124.85636901855469,124.85636901855469,0.0,126.20622253417969,126.20622253417969,0.0,,23.0
Frost is composed of matter,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Pollen has a molecular structure,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Saliva has a molecular structure,f,1.0,1.0,1.0,0.0,'f',0.5030049085617065,0.5030049085617065,0.0,143.19216918945312,143.19216918945312,0.0,,142.69253540039062,142.69253540039062,0.0,,,,,,143.72401719380287,,143.72401719380287,,'space',0.11722695082426071,0.11722695082426071,0.0,143.72569274902344,143.72569274902344,0.0,,142.20736694335938,142.20736694335938,0.0,142.6085662841797,142.6085662841797,0.0,143.72569274902344,143.72569274902344,0.0,,32.0
Hammers are alive,j,1.0,0.0,0.0,0.0,'f',0.23827329277992249,0.23827329277992249,0.0,106.45619201660156,106.45619201660156,0.0,,105.9552001953125,105.9552001953125,0.0,,,,,,106.72242200479377,,106.72242200479377,,'space',0.1476808786392212,0.1476808786392212,0.0,106.72270202636719,106.72270202636719,0.0,,105.48806762695312,105.48806762695312,0.0,105.888427734375,105.888427734375,0.0,106.72270202636719,106.72270202636719,0.0,,16.0
Forks are alive,j,1.0,1.0,1.0,0.0,'j',0.5775537490844727,0.5775537490844727,0.0,193.89578247070312,193.89578247070312,0.0,,193.39585876464844,193.39585876464844,0.0,,,,,,194.49403118580813,,194.49403118580813,,'space',0.04865684732794762,0.04865684732794762,0.0,194.49623107910156,194.49623107910156,0.0,,192.91175842285156,192.91175842285156,0.0,193.3124237060547,193.3124237060547,0.0,194.49623107910156,194.49623107910156,0.0,,54.0
Mittens need nutrients,j,1.0,1.0,1.0,0.0,'j',0.4231903851032257,0.4231903851032257,0.0,81.78775787353516,81.78775787353516,0.0,,81.28662872314453,81.28662872314453,0.0,,,,,,82.23604155078647,,82.23604155078647,,'space',0.3500218093395233,0.3500218093395233,0.0,82.236083984375,82.236083984375,0.0,,80.80326080322266,80.80326080322266,0.0,81.20325469970703,81.20325469970703,0.0,82.236083984375,82.236083984375,0.0,,8.0
Tables reproduce,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Stones reproduce,j,1.0,0.0,0.0,0.0,'f',0.3840740919113159,0.3840740919113159,0.0,139.50828552246094,139.50828552246094,0.0,,139.0085906982422,139.0085906982422,0.0,,,,,,139.92519728880143,,139.92519728880143,,'space',0.1287945806980133,0.1287945806980133,0.0,139.924560546875,139.924560546875,0.0,,138.5244598388672,138.5244598388672,0.0,138.92535400390625,138.92535400390625,0.0,139.924560546875,139.924560546875,0.0,,30.0
Songs can be put in a container,j,1.0,1.0,1.0,0.0,'j',2.623671293258667,2.623671293258667,0.0,100.93894958496094,100.93894958496094,0.0,,100.43905639648438,100.43905639648438,0.0,,,,,,103.58798842781107,,103.58798842781107,,'space',0.16686539351940155,0.16686539351940155,0.0,103.58863067626953,103.58863067626953,0.0,,99.95577239990234,99.95577239990234,0.0,100.35563659667969,100.35563659667969,0.0,103.58863067626953,103.58863067626953,0.0,,14.0
Silence is composed of matter,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Thoughts are composed of matter,j,1.0,1.0,1.0,0.0,'j',0.44621211290359497,0.44621211290359497,0.0,144.87588500976562,144.87588500976562,0.0,,144.37416076660156,144.37416076660156,0.0,,,,,,145.34182399880956,,145.34182399880956,,'space',0.14355896413326263,0.14355896413326263,0.0,145.3424530029297,145.3424530029297,0.0,,143.8916015625,143.8916015625,0.0,144.2908477783203,144.2908477783203,0.0,145.3424530029297,145.3424530029297,0.0,,33.0
Words have a molecular structure,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Dreams have a molecular structure,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
This sentence is written in English,f,1.0,1.0,1.0,0.0,'f',0.4544556736946106,0.4544556736946106,0.0,220.2298126220703,220.2298126220703,0.0,,219.72958374023438,219.72958374023438,0.0,,,,,,220.71294552579639,,220.71294552579639,,'space',0.11994927376508713,0.11994927376508713,0.0,220.7124481201172,220.7124481201172,0.0,,219.24595642089844,219.24595642089844,0.0,219.64642333984375,219.64642333984375,0.0,220.7124481201172,220.7124481201172,0.0,,62.0
A square is a shape,f,1.0,1.0,1.0,0.0,'f',0.3473491072654724,0.3473491072654724,0.0,168.99212646484375,168.99212646484375,0.0,,168.4927978515625,168.4927978515625,0.0,,,,,,169.35894063379965,,169.35894063379965,,'space',0.1732783168554306,0.1732783168554306,0.0,169.35911560058594,169.35911560058594,0.0,,168.0102081298828,168.0102081298828,0.0,168.4261932373047,168.4261932373047,0.0,169.35911560058594,169.35911560058594,0.0,,43.0
A triangle is a shape,f,1.0,1.0,1.0,0.0,'f',1.2014498710632324,1.2014498710632324,0.0,260.68328857421875,260.68328857421875,0.0,,260.1838073730469,260.1838073730469,0.0,,,,,,261.91650737580494,,261.91650737580494,,'space',0.09179136902093887,0.09179136902093887,0.0,261.91680908203125,261.91680908203125,0.0,,259.69976806640625,259.69976806640625,0.0,260.0998840332031,260.0998840332031,0.0,261.91680908203125,261.91680908203125,0.0,,76.0
A circle is a shape,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Dinosaurs are extinct,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Magenta is a color,f,1.0,1.0,1.0,0.0,'f',0.1747421771287918,0.1747421771287918,0.0,215.3799591064453,215.3799591064453,0.0,,214.8800811767578,214.8800811767578,0.0,,,,,,215.57996961279423,,215.57996961279423,,'space',0.12899711728096008,0.12899711728096008,0.0,215.58058166503906,215.58058166503906,0.0,,214.3970489501953,214.3970489501953,0.0,214.81344604492188,214.81344604492188,0.0,215.58058166503906,215.58058166503906,0.0,,60.0
Orange is a color,f,1.0,1.0,1.0,0.0,'f',1.1173489093780518,1.1173489093780518,0.0,202.4462127685547,202.4462127685547,0.0,,201.94569396972656,201.94569396972656,0.0,,,,,,203.57994177180808,,203.57994177180808,,'space',0.1439843624830246,0.1439843624830246,0.0,203.57931518554688,203.57931518554688,0.0,,201.47833251953125,201.47833251953125,0.0,201.8799591064453,201.8799591064453,0.0,203.57931518554688,203.57931518554688,0.0,,56.0
Yellow is a color,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Humans can drink water,f,1.0,1.0,1.0,0.0,'f',0.9568593502044678,0.9568593502044678,0.0,64.58527374267578,64.58527374267578,0.0,,64.0855484008789,64.0855484008789,0.0,,,,,,65.56816308980342,,65.56816308980342,,'space',0.3547869324684143,0.3547869324684143,0.0,65.56904602050781,65.56904602050781,0.0,,63.61911392211914,63.61911392211914,0.0,64.01890563964844,64.01890563964844,0.0,65.56904602050781,65.56904602050781,0.0,,3.0
