Statement,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instr.started,Instr.stopped,EndInstr.keys,EndInstr.rt,EndInstr.started,EndInstr.stopped,fixcross.started,fixcross.stopped,text.started,text.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,33.37830225599464,None,e,13.824983767932281,33.37830225599464,None,,,,,,,,,,,,12,001,2021_Nov_15_1009,InfinityThesisTest5,2021.2.3,None,
Numbers are finite,i,0,0,0,3,,,,,,,47.2965712279547,47.81286527495831,47.762644481961615,None,e,0,1.1948351389728487,47.762644481961615,None,None,None,12,001,2021_Nov_15_1009,InfinityThesisTest5,2021.2.3,None,
An inch cannot go on forever,e,0,1,1,4,,,,,,,48.99620122194756,49.496244933921844,49.496244933921844,None,e,1,3.02001536404714,49.496244933921844,None,52.4790072016806,None,12,001,2021_Nov_15_1009,InfinityThesisTest5,2021.2.3,None,
A minute is infinite,i,0,2,2,0,,,,,,,52.54556479596067,53.062717673019506,53.047645051032305,None,i,1,3.0939515669597313,53.047645051032305,None,56.046207446667054,None,12,001,2021_Nov_15_1009,InfinityThesisTest5,2021.2.3,None,
Time  goes on forever,e,0,3,3,2,,,,,,,56.19636509392876,56.6964453170076,56.66283460392151,None,e,1,3.4348679080139846,56.66283460392151,None,59.700079651611546,None,12,001,2021_Nov_15_1009,InfinityThesisTest5,2021.2.3,None,
Space has an end,i,0,4,4,1,,,,,,,60.196474189986475,60.696765190921724,60.68028038798366,None,i,1,1.5502979640150443,60.68028038798366,None,None,None,12,001,2021_Nov_15_1009,InfinityThesisTest5,2021.2.3,None,
