selectBlock,FastInstructions,Statement,Correct,BlockSelectLoop.thisRepN,BlockSelectLoop.thisTrialN,BlockSelectLoop.thisN,BlockSelectLoop.thisIndex,SpeededBlock.thisRepN,SpeededBlock.thisTrialN,SpeededBlock.thisN,SpeededBlock.thisIndex,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,Instr1.started,Instr1.stopped,InstrResponse.keys,InstrResponse.rt,InstrResponse.started,InstrResponse.stopped,fixcross.started,fixcross.stopped,Fasttext.started,Fasttext.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,,An inch cannot go on forever,e,0,3,3,6,0,0,0,0,,,,,0,3,3,4,,,,,,,39.61207029793877,40.11290365096647,40.09576701093465,None,e,1,0.11075228499248624,40.09576701093465,None,None,None,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,,Time  goes on forever,e,0,3,3,6,0,0,0,0,,,,,0,4,4,2,,,,,,,40.229532715980895,40.72941421403084,40.712484885938466,None,e,1,0.1000828220276162,40.712484885938466,None,None,None,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
2,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
2,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
2,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
2,,,,0,7,7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
2,,,,0,8,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",,,0,9,9,0,0,0,0,0,0,0,0,0,,,,,40.86177227203734,None,e,1.005433372920379,42.84677781094797,None,,,,,,,,,,,,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,"Each statement will appear on your screen for 5 seconds and you will have those 5 seconds to decide if it is true or false before the next statement appears. There will be a timer on your screen and a reminder when you have 2 seconds remaining. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press E to continue",,,0,9,9,0,0,0,0,0,0,1,1,1,,,,,43.89586593594868,None,e,0.16909890703391284,45.879892998957075,None,,,,,,,,,,,,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,0,9,9,0,0,0,0,0,0,2,2,2,,,,,46.09618222201243,None,e,0.6383319739252329,48.079531444003806,None,,,,,,,,,,,,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,,Space has an end,i,0,9,9,0,0,0,0,0,,,,,0,0,0,1,,,,,,,48.76322666998021,49.2631391719915,49.24653636198491,None,e,0,0.623332938994281,49.24653636198491,None,None,None,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,,Time  goes on forever,e,0,9,9,0,0,0,0,0,,,,,0,1,1,2,,,,,,,49.89614372199867,50.39617799199186,50.380889476975426,None,e,1,0.2990242230007425,50.380889476975426,None,None,None,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,,Numbers are finite,i,0,9,9,0,0,0,0,0,,,,,0,2,2,3,,,,,,,50.69641688500997,51.19689079199452,51.179660795023665,None,e,0,0.2880536619341001,51.179660795023665,None,None,None,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,,A minute is infinite,i,0,9,9,0,0,0,0,0,,,,,0,3,3,0,,,,,,,51.49621031002607,51.999009590013884,51.980249452986754,None,e,0,0.7043940629810095,51.980249452986754,None,None,None,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,,An inch cannot go on forever,e,0,9,9,0,0,0,0,0,,,,,0,4,4,4,,,,,,,52.71371675701812,53.22900130995549,53.19571729993913,None,e,1,0.3957731160335243,53.19571729993913,None,None,None,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,,,,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
2,,,,0,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",,,0,11,11,10,0,0,0,0,0,0,0,0,,,,,53.64729620993603,None,e,0.5988273438997567,55.62978481501341,None,,,,,,,,,,,,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,"Each statement will appear on your screen for 5 seconds and you will have those 5 seconds to decide if it is true or false before the next statement appears. There will be a timer on your screen and a reminder when you have 2 seconds remaining. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press E to continue",,,0,11,11,10,0,0,0,0,0,1,1,1,,,,,56.27928215393331,None,e,0.22233863698784262,58.26282351498958,None,,,,,,,,,,,,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,0,11,11,10,0,0,0,0,0,2,2,2,,,,,58.530840256018564,None,e,1.1477807760238647,60.514397379010916,None,,,,,,,,,,,,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
