Statement,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instr.started,Instr.stopped,EndInstr.keys,EndInstr.started,EndInstr.stopped,Inst2.started,Inst2.stopped,Instr3.started,Instr3.stopped,EndInstr2.keys,EndInstr2.rt,EndInstr2.started,EndInstr2.stopped,EndInstr3.keys,EndInstr3.started,EndInstr3.stopped,fixcross.started,fixcross.stopped,text.started,text.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,13.127578211016953,23.110095712007023,None,15.093046772992238,23.110095712007023,,,,,,,,,,,,,,,,,,,,,,,0,001,2021_Nov_15_1333,InfinityThesisTest5,2021.2.3,59.96177461511019,
,,,,,,,,,,,23.110095712007023,None,None,None,e,4.225948423962109,25.094778737053275,None,,,,,,,,,,,,,,,0,001,2021_Nov_15_1333,InfinityThesisTest5,2021.2.3,59.96177461511019,
,,,,,,,,,,,,,,,,,,,None,None,None,,,,,,,,,,,,0,001,2021_Nov_15_1333,InfinityThesisTest5,2021.2.3,59.96177461511019,
Numbers are finite,i,0,0,0,3,,,,,,,,,,,,,,,,,29.378522530081682,29.87838971510064,29.861307573039085,None,e,0,0.21983200206886977,29.861307573039085,None,None,None,0,001,2021_Nov_15_1333,InfinityThesisTest5,2021.2.3,59.96177461511019,
An inch cannot go on forever,e,0,1,1,4,,,,,,,,,,,,,,,,,30.128364588017575,30.62840916204732,30.611939209047705,None,e,1,0.05708337691612542,30.611939209047705,None,None,None,0,001,2021_Nov_15_1333,InfinityThesisTest5,2021.2.3,59.96177461511019,
Space has an end,i,0,2,2,1,,,,,,,,,,,,,,,,,30.69522686500568,31.194522742996924,31.178777097025886,None,e,0,0.43907427694648504,31.178777097025886,None,None,None,0,001,2021_Nov_15_1333,InfinityThesisTest5,2021.2.3,59.96177461511019,
A minute is infinite,i,0,3,3,0,,,,,,,,,,,,,,,,,31.64501908503007,32.145525425090455,32.128089465084486,None,e,0,0.22961417003534734,32.128089465084486,None,None,None,0,001,2021_Nov_15_1333,InfinityThesisTest5,2021.2.3,59.96177461511019,
Time  goes on forever,e,0,4,4,2,,,,,,,,,,,,,,,,,32.37752878200263,32.87928669003304,32.862239268026315,None,e,1,0.20443410496227443,32.862239268026315,None,None,None,0,001,2021_Nov_15_1333,InfinityThesisTest5,2021.2.3,59.96177461511019,
