Statement,Correct,n,Fasttext.started_mean,Fasttext.started_raw,Fasttext.started_std,Fasttext.stopped_raw,Timer.started_raw,Timer.stopped_raw,fixcross.started_mean,fixcross.started_raw,fixcross.started_std,fixcross.stopped_mean,fixcross.stopped_raw,fixcross.stopped_std,key_resp.corr_mean,key_resp.corr_raw,key_resp.corr_std,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,key_resp.started_mean,key_resp.started_raw,key_resp.started_std,key_resp.stopped_raw,order
A minute is infinite,i,1.0,32.57728958129883,32.57728958129883,0.0,,,,32.10991668701172,32.10991668701172,0.0,32.610740661621094,32.610740661621094,0.0,0.0,0.0,0.0,'e',0.782658576965332,0.782658576965332,0.0,32.57728958129883,32.57728958129883,0.0,,0.0
Space has an end,i,1.0,33.87694549560547,33.87694549560547,0.0,,36.87714192547137,37.077030104002915,33.3935661315918,33.3935661315918,0.0,33.8937873840332,33.8937873840332,0.0,1.0,1.0,0.0,'i',3.2974979877471924,3.2974979877471924,0.0,33.87694549560547,33.87694549560547,0.0,,1.0
Time  goes on forever,e,1.0,37.69439697265625,37.69439697265625,0.0,,40.69452626347775,40.8937667789869,37.21070098876953,37.21070098876953,0.0,37.71062469482422,37.71062469482422,0.0,1.0,1.0,0.0,'e',4.722728252410889,4.722728252410889,0.0,37.69439697265625,37.69439697265625,0.0,,2.0
Numbers are finite,i,1.0,42.928035736083984,42.928035736083984,0.0,47.92746214789804,45.92808549742913,46.12814529798925,42.444644927978516,42.444644927978516,0.0,42.943992614746094,42.943992614746094,0.0,0.0,0.0,0.0,,,,,42.928035736083984,42.928035736083984,0.0,,3.0
An inch cannot go on forever,e,1.0,48.928035736083984,48.928035736083984,0.0,,,,48.42909622192383,48.42909622192383,0.0,48.944313049316406,48.944313049316406,0.0,1.0,1.0,0.0,'e',1.9236689805984497,1.9236689805984497,0.0,48.928035736083984,48.928035736083984,0.0,48.42909761390183,4.0

extraInfo
participant,6
session,001
date,2021_Nov_20_1137
expName,InfinityThesisTest5
psychopyVersion,2021.2.3
frameRate,59.98949333639036
