SlowInstructions,practicetext,practicecorrect,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,SlowInstrText.started,SlowInstrText.stopped,SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrKey.started,SlowInstrKey.stopped,FixcrossPractice.started,FixcrossPractice.stopped,PracticeText.started,PracticeText.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,Encourage.started,Encourage.stopped,EncourageKey.keys,EncourageKey.started,EncourageKey.stopped,ContinueText.started,ContinueText.stopped,ContinueKey.keys,ContinueKey.rt,ContinueKey.started,ContinueKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press F to Continue",,,0,0,0,0,,,,,14.183157010003924,None,f,0.4918867020169273,14.183157010003924,None,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_14_1821,InfinityThesisTest5,2021.2.3,60.01567297479074,
We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press F to continue,,,0,1,1,1,,,,,14.733294826000929,None,f,0.5924796430044807,14.733294826000929,None,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_14_1821,InfinityThesisTest5,2021.2.3,60.01567297479074,
"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press F to continue",,,0,2,2,2,,,,,15.36581755700172,None,f,0.4313316589978058,15.36581755700172,None,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_14_1821,InfinityThesisTest5,2021.2.3,60.01567297479074,
"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press 'F' to continue.",,,0,3,3,3,,,,,15.832450443995185,None,f,0.39735715798451565,15.832450443995185,None,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_14_1821,InfinityThesisTest5,2021.2.3,60.01567297479074,
"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press F to continue",,,0,4,4,4,,,,,16.26484115299536,None,f,0.41284643701510504,16.26484115299536,None,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_14_1821,InfinityThesisTest5,2021.2.3,60.01567297479074,
,A truck is an animal,j,,,,,0,0,0,5,,,,,,,16.748645422019763,17.198512583010597,17.231778826011578,None,e,0,5.5236166039831005,18.73179349800921,None,24.28329961851414,None,None,24.28329961851414,None,24.28350012100418,None,space,1.7334055679966696,24.28350012100418,None,0,001,2022_Feb_14_1821,InfinityThesisTest5,2021.2.3,60.01567297479074,
