2.3682 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
11.8974 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
12.5785 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x148354c50>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x146d149b0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1440,  900]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.5789 	EXP 	window1: mouseVisible = True
12.5791 	EXP 	window1: recordFrameIntervals = False
12.7434 	EXP 	window1: recordFrameIntervals = True
12.9274 	EXP 	window1: recordFrameIntervals = False
13.8576 	EXP 	Created fixcross = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixcross', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
13.8787 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
13.9083 	EXP 	Imported InfinityThesisTest5.xlsx as conditions, 5 conditions, 2 params
13.9173 	EXP 	Created sequence: random, trialTypes=5, nReps=5, seed=None
13.9193 	EXP 	New trial (rep=0, index=0): {'Statement': 'A minute is finite', 'Correct': 'e'}
13.9928 	EXP 	text: text = 'A minute is finite'
13.9928 	EXP 	fixcross: autoDraw = True
14.4942 	EXP 	fixcross: autoDraw = False
14.4942 	EXP 	text: autoDraw = True
15.0509 	DATA 	Keypress: e
15.0653 	EXP 	New trial (rep=0, index=1): {'Statement': 'Time is infinite', 'Correct': 'e'}
15.0931 	EXP 	fixcross: autoDraw = False
15.0931 	EXP 	text: autoDraw = False
15.0931 	EXP 	text: text = 'Time is infinite'
15.0931 	EXP 	fixcross: autoDraw = True
15.5769 	EXP 	text: autoDraw = True
15.5939 	EXP 	fixcross: autoDraw = False
16.3465 	EXP 	New trial (rep=0, index=2): {'Statement': 'Space goes on forever', 'Correct': 'e'}
16.3647 	DATA 	Keypress: e
16.3768 	EXP 	fixcross: autoDraw = False
16.3768 	EXP 	text: autoDraw = False
16.3768 	EXP 	text: text = 'Space goes on forever'
16.3768 	EXP 	fixcross: autoDraw = True
16.8603 	EXP 	text: autoDraw = True
16.8773 	EXP 	fixcross: autoDraw = False
17.5463 	EXP 	New trial (rep=0, index=3): {'Statement': 'Numbers have an end', 'Correct': 'i'}
17.5589 	DATA 	Keypress: e
17.5773 	EXP 	fixcross: autoDraw = False
17.5773 	EXP 	text: autoDraw = False
17.5773 	EXP 	text: text = 'Numbers have an end'
17.5773 	EXP 	fixcross: autoDraw = True
18.0607 	EXP 	text: autoDraw = True
18.0773 	EXP 	fixcross: autoDraw = False
18.6666 	DATA 	Keypress: e
18.6808 	EXP 	New trial (rep=0, index=4): {'Statement': 'An inch is endless', 'Correct': 'i'}
18.7102 	EXP 	fixcross: autoDraw = False
18.7102 	EXP 	text: autoDraw = False
18.7102 	EXP 	text: text = 'An inch is endless'
18.7102 	EXP 	fixcross: autoDraw = True
19.1944 	EXP 	text: autoDraw = True
19.2109 	EXP 	fixcross: autoDraw = False
19.8791 	EXP 	New trial (rep=1, index=0): {'Statement': 'A minute is finite', 'Correct': 'e'}
19.8858 	DATA 	Keypress: e
19.8922 	EXP 	fixcross: autoDraw = False
19.8922 	EXP 	text: autoDraw = False
19.8922 	EXP 	text: text = 'A minute is finite'
19.8922 	EXP 	fixcross: autoDraw = True
20.3775 	EXP 	text: autoDraw = True
20.3944 	EXP 	fixcross: autoDraw = False
21.0295 	EXP 	New trial (rep=1, index=1): {'Statement': 'An inch is endless', 'Correct': 'i'}
21.0404 	DATA 	Keypress: e
21.0608 	EXP 	fixcross: autoDraw = False
21.0608 	EXP 	text: autoDraw = False
21.0608 	EXP 	text: text = 'An inch is endless'
21.0608 	EXP 	fixcross: autoDraw = True
21.5446 	EXP 	text: autoDraw = True
21.5603 	EXP 	fixcross: autoDraw = False
22.1144 	EXP 	New trial (rep=1, index=2): {'Statement': 'Numbers have an end', 'Correct': 'i'}
22.1272 	DATA 	Keypress: e
22.1439 	EXP 	fixcross: autoDraw = False
22.1439 	EXP 	text: autoDraw = False
22.1439 	EXP 	text: text = 'Numbers have an end'
22.1439 	EXP 	fixcross: autoDraw = True
22.6272 	EXP 	text: autoDraw = True
22.6446 	EXP 	fixcross: autoDraw = False
28.1280 	EXP 	text: autoDraw = False
30.2312 	EXP 	New trial (rep=1, index=3): {'Statement': 'Time is infinite', 'Correct': 'e'}
30.2439 	DATA 	Keypress: e
30.2616 	EXP 	fixcross: autoDraw = False
30.2616 	EXP 	text: autoDraw = False
30.2616 	EXP 	text: text = 'Time is infinite'
30.2616 	EXP 	fixcross: autoDraw = True
30.7451 	EXP 	text: autoDraw = True
30.7614 	EXP 	fixcross: autoDraw = False
31.4805 	EXP 	New trial (rep=1, index=4): {'Statement': 'Space goes on forever', 'Correct': 'e'}
31.4901 	DATA 	Keypress: e
31.5115 	EXP 	fixcross: autoDraw = False
31.5115 	EXP 	text: autoDraw = False
31.5115 	EXP 	text: text = 'Space goes on forever'
31.5115 	EXP 	fixcross: autoDraw = True
31.9764 	EXP 	text: autoDraw = True
32.0280 	EXP 	fixcross: autoDraw = False
32.4666 	DATA 	Keypress: e
32.4813 	EXP 	New trial (rep=2, index=0): {'Statement': 'Time is infinite', 'Correct': 'e'}
32.5117 	EXP 	fixcross: autoDraw = False
32.5117 	EXP 	text: autoDraw = False
32.5117 	EXP 	text: text = 'Time is infinite'
32.5117 	EXP 	fixcross: autoDraw = True
32.9949 	EXP 	text: autoDraw = True
33.0114 	EXP 	fixcross: autoDraw = False
33.4834 	DATA 	Keypress: e
33.4969 	EXP 	New trial (rep=2, index=1): {'Statement': 'Numbers have an end', 'Correct': 'i'}
33.5113 	EXP 	fixcross: autoDraw = False
33.5113 	EXP 	text: autoDraw = False
33.5113 	EXP 	text: text = 'Numbers have an end'
33.5113 	EXP 	fixcross: autoDraw = True
33.9943 	EXP 	text: autoDraw = True
34.0117 	EXP 	fixcross: autoDraw = False
34.2646 	EXP 	New trial (rep=2, index=2): {'Statement': 'An inch is endless', 'Correct': 'i'}
34.2787 	DATA 	Keypress: e
34.2945 	EXP 	fixcross: autoDraw = False
34.2945 	EXP 	text: autoDraw = False
34.2945 	EXP 	text: text = 'An inch is endless'
34.2945 	EXP 	fixcross: autoDraw = True
34.7781 	EXP 	text: autoDraw = True
34.7950 	EXP 	fixcross: autoDraw = False
35.2844 	DATA 	Keypress: e
35.2972 	EXP 	New trial (rep=2, index=3): {'Statement': 'Space goes on forever', 'Correct': 'e'}
35.3113 	EXP 	fixcross: autoDraw = False
35.3113 	EXP 	text: autoDraw = False
35.3113 	EXP 	text: text = 'Space goes on forever'
35.3113 	EXP 	fixcross: autoDraw = True
