Statement,Correct,n,SlowKey.corr_mean,SlowKey.corr_raw,SlowKey.corr_std,SlowKey.keys_raw,SlowKey.rt_mean,SlowKey.rt_raw,SlowKey.rt_std,SlowKey.started_mean,SlowKey.started_raw,SlowKey.started_std,SlowKey.stopped_raw,SlowText.started_mean,SlowText.started_raw,SlowText.started_std,SlowText.stopped_raw,polygon.started_mean,polygon.started_raw,polygon.started_std,polygon.stopped_mean,polygon.stopped_raw,polygon.stopped_std,order
A minute is infinite,i,1.0,0.0,0.0,0.0,'e',0.7396326065063477,0.7396326065063477,0.0,57.5811653137207,57.5811653137207,0.0,,58.0645637512207,58.0645637512207,0.0,,57.5811653137207,57.5811653137207,0.0,58.08126449584961,58.08126449584961,0.0,4.0
Space has an end,i,1.0,0.0,0.0,0.0,'e',10.871081352233887,10.871081352233887,0.0,43.497196197509766,43.497196197509766,0.0,,43.98122787475586,43.98122787475586,0.0,,43.497196197509766,43.497196197509766,0.0,43.99739456176758,43.99739456176758,0.0,0.0
Time  goes on forever,e,1.0,1.0,1.0,0.0,'e',1.2904539108276367,1.2904539108276367,0.0,54.398651123046875,54.398651123046875,0.0,,54.88212585449219,54.88212585449219,0.0,,54.398651123046875,54.398651123046875,0.0,54.898555755615234,54.898555755615234,0.0,1.0
Numbers are finite,i,1.0,0.0,0.0,0.0,'e',1.009063720703125,1.009063720703125,0.0,55.71498107910156,55.71498107910156,0.0,,56.198028564453125,56.198028564453125,0.0,,55.71498107910156,55.71498107910156,0.0,56.215023040771484,56.215023040771484,0.0,2.0
An inch cannot go on forever,e,1.0,1.0,1.0,0.0,'e',0.8091694116592407,0.8091694116592407,0.0,56.74806213378906,56.74806213378906,0.0,,57.23225021362305,57.23225021362305,0.0,,56.74806213378906,56.74806213378906,0.0,57.248722076416016,57.248722076416016,0.0,3.0

extraInfo
participant,0
session,001
date,2021_Nov_20_1200
expName,InfinityThesisTest5
psychopyVersion,2021.2.3
frameRate,60.13983038506363
