Statement,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instr.started,Instr.stopped,EndInstr.keys,EndInstr.rt,EndInstr.started,EndInstr.stopped,fixcross.started,fixcross.stopped,text.started,text.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,13.024095189059153,None,e,9.152102579013444,18.00898791907821,None,,,,,,,,,,,,14,001,2021_Nov_14_1428,InfinityThesisTest5,2021.2.3,59.93674011976378,
An inch cannot go on forever,e,0,0,0,4,,,,,,,27.22543744603172,27.725388932973146,27.70931303605903,None,e,1,2.2192339670145884,27.70931303605903,None,None,None,14,001,2021_Nov_14_1428,InfinityThesisTest5,2021.2.3,59.93674011976378,
Time  goes on forever,e,0,1,1,2,,,,,,,29.959287844016217,30.45856060902588,30.442209411994554,None,i,0,5.34415901103057,30.442209411994554,None,33.44339154551271,None,14,001,2021_Nov_14_1428,InfinityThesisTest5,2021.2.3,59.93674011976378,
Space has an end,i,0,2,2,1,,,,,,,35.82560614508111,36.326751490007155,36.29226918204222,None,i,1,2.4060344470199198,36.29226918204222,None,None,None,14,001,2021_Nov_14_1428,InfinityThesisTest5,2021.2.3,59.93674011976378,
Numbers are finite,i,0,3,3,3,,,,,,,38.74240632005967,39.24366173497401,39.20961602998432,None,i,1,2.565393566037528,39.20961602998432,None,None,None,14,001,2021_Nov_14_1428,InfinityThesisTest5,2021.2.3,59.93674011976378,
A minute is infinite,i,0,4,4,0,,,,,,,41.809298955020495,42.30931681103539,42.29247654997744,None,i,1,1.3894171150168404,42.29247654997744,None,None,None,14,001,2021_Nov_14_1428,InfinityThesisTest5,2021.2.3,59.93674011976378,
