Statement,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixcross.started,fixcross.stopped,text.started,text.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Numbers are finite,i,0,0,0,3,15.519570185919292,16.017715399968438,16.001892276923172,None,i,1,1.5664132009260356,16.001892276923172,None,9,001,2021_Nov_14_1236,InfinityThesisTest5,2021.2.3,60.01569529279393,
A minute is infinite,i,0,1,1,0,17.60138085798826,18.101686554960907,18.08492767298594,None,i,1,1.3421106319874525,18.08492767298594,None,9,001,2021_Nov_14_1236,InfinityThesisTest5,2021.2.3,60.01569529279393,
An inch cannot go on forever,e,0,2,2,4,19.468619684921578,19.968285304959863,19.951765700941905,None,e,1,2.461122617009096,19.951765700941905,None,9,001,2021_Nov_14_1236,InfinityThesisTest5,2021.2.3,60.01569529279393,
Time  goes on forever,e,0,3,3,2,22.452070778934285,22.968618518905714,22.93360099790152,None,e,1,3.0051383840618655,22.93360099790152,None,9,001,2021_Nov_14_1236,InfinityThesisTest5,2021.2.3,60.01569529279393,
Space has an end,i,0,4,4,1,25.985888089984655,26.485663260915317,26.469267896958627,None,i,1,2.6712573639815673,26.469267896958627,None,9,001,2021_Nov_14_1236,InfinityThesisTest5,2021.2.3,60.01569529279393,
