Statement,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instr.started,Instr.stopped,EndInstr.keys,EndInstr.rt,EndInstr.started,EndInstr.stopped,fixcross.started,fixcross.stopped,text.started,text.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,11.18260271300096,None,e,23.420982809970155,16.166330532054417,None,,,,,,,,,,13,001,2021_Nov_14_1425,InfinityThesisTest5,2021.2.3,60.171417653870634,
Time  goes on forever,e,0,0,0,2,,,,,,,39.63472480105702,40.13390112307388,40.11805579205975,None,e,1,3.1284326560562477,40.11805579205975,None,13,001,2021_Nov_14_1425,InfinityThesisTest5,2021.2.3,60.171417653870634,
Numbers are finite,i,0,1,1,3,,,,,,,43.28476363909431,43.78514786902815,43.768262147088535,None,e,0,1.2373646009946242,43.768262147088535,None,13,001,2021_Nov_14_1425,InfinityThesisTest5,2021.2.3,60.171417653870634,
Space has an end,i,0,2,2,1,,,,,,,45.051951674045995,45.55205387400929,45.53476881200913,None,i,1,1.1185463200090453,45.53476881200913,None,13,001,2021_Nov_14_1425,InfinityThesisTest5,2021.2.3,60.171417653870634,
A minute is infinite,i,0,3,3,0,,,,,,,46.701573993079364,47.202289598062634,47.185646663070656,None,i,1,4.002790417056531,47.185646663070656,None,13,001,2021_Nov_14_1425,InfinityThesisTest5,2021.2.3,60.171417653870634,
An inch cannot go on forever,e,0,4,4,4,,,,,,,51.21779897506349,51.71905025909655,51.70252645108849,None,e,1,4.784522607922554,51.70252645108849,None,13,001,2021_Nov_14_1425,InfinityThesisTest5,2021.2.3,60.171417653870634,
