Statement,Correct,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,fixedcross.started,fixedcross.stopped,Statement1.started,Statement1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Space has an end,i,0,0,0,3,9.569519986980595,10.06994830199983,10.154215452028438,None,e,1.4439983420306817,10.154215452028438,None,7,001,2021_Nov_03_1646,softwaretest1,2021.2.3,60.03211825248284,
Intervals of time are endless,i,0,1,1,5,11.636921204975806,12.136424279015046,12.221220227016602,None,i,0.3770640469738282,12.221220227016602,None,7,001,2021_Nov_03_1646,softwaretest1,2021.2.3,60.03211825248284,
