SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys
space,6.6343,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",3392,2022-04-06_19h31.44.526,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,1,1,1,"We urge you to try your best and take your time. Each statement will appear on your screen and you will have 10 seconds to decide if it is true or false. You will hear a beep at 6 seconds that will prompt you to respond within the next 4 seconds. If you fail to respond within this time, the trial will be counted as incorrect and the next statement will appear. Press SPACE to continue",3392,2022-04-06_19h31.44.526,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,13.7449,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",3392,2022-04-06_19h31.44.526,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.2059,0,3,3,3,1,Take your time and go slowly! You have 10 seconds to answer! Press SPACE to continue. ,3392,2022-04-06_19h31.44.526,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3392,2022-04-06_19h31.44.526,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.99880002,j,1,2.6035,space,1.3704,0,0,0,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,,3392,2022-04-06_19h31.44.526,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.99880002,j,1,1.3193,space,0.6677,0,1,1,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,,3392,2022-04-06_19h31.44.526,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.99880002,f,1,2.8066,space,0.9657,0,2,2,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,,3392,2022-04-06_19h31.44.526,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.99880002,j,1,1.9694,space,0.6942,0,3,3,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,,3392,2022-04-06_19h31.44.526,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.99880002,j,1,1.6481,space,0.4006,0,4,4,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,,3392,2022-04-06_19h31.44.526,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.99880002,f,1,1.5817,space,0.4848,0,5,5,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,
