Instructions,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instr1.started,Instr1.stopped,InstrResponse.keys,InstrResponse.rt,InstrResponse.started,InstrResponse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements. Press E to Continue",0,0,0,0,13.459425245062448,None,e,0.6093945889733732,15.425152932060882,None,9,001,2021_Nov_15_1340,InfinityThesisTest5,2021.2.3,59.9534361915438,
"Each statement will appear on your screen for 5 seconds and you will have those 5 seconds to decide if it is true or false before the next statement appears. There will be a timer on your screen and a reminder when you have 2 seconds remaining. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press E to continue",0,1,1,1,16.124848355073482,None,e,0.11747520102653652,18.109794064075686,None,9,001,2021_Nov_15_1340,InfinityThesisTest5,2021.2.3,59.9534361915438,
