Statement,Correct,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,fixedcross.started,fixedcross.stopped,Statement1.started,Statement1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Numbers are infinite,e,0,0,0,0,10.70503108901903,11.206168117991183,11.288660776044708,None,e,2.2028476200066507,11.288660776044708,None,8,001,2021_Nov_03_1647,softwaretest1,2021.2.3,59.88375257217969,
Time is endless,e,0,1,1,2,13.522571951034479,14.02276908699423,14.121302585001104,None,i,0.18530223000561818,14.121302585001104,None,8,001,2021_Nov_03_1647,softwaretest1,2021.2.3,59.88375257217969,
