SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate
space,1.4304,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",5132,2022-03-31_12h32.15.781,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001
space,0.7578,0,1,1,1,1,"We urge you to try your best and take your time. Each statement will appear on your screen and you will have 10 seconds to decide if it is true or false. You will hear a beep at 6 seconds that will prompt you to respond within the next 4 seconds. If you fail to respond within this time, the trial will be counted as incorrect and the next statement will appear. Press SPACE to continue",5132,2022-03-31_12h32.15.781,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001
space,0.1844,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",5132,2022-03-31_12h32.15.781,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001
space,0.9836,0,3,3,3,1,Take your time and go slowly! You have 10 seconds to answer! Press SPACE to continue. ,5132,2022-03-31_12h32.15.781,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001
