Statement,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instr.started,Instr.stopped,EndInstr.keys,EndInstr.rt,EndInstr.started,EndInstr.stopped,Inst2.started,Inst2.stopped,Instr3.started,Instr3.stopped,fixcross.started,fixcross.stopped,text.started,text.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,13.801945230923593,None,e,5.872301032068208,15.785476499935612,None,,,,,,,,,,,,,,,,0,001,2021_Nov_15_1330,InfinityThesisTest5,2021.2.3,59.93627490446368,
Space has an end,i,0,0,0,1,,,,,,,None,None,None,None,21.718751528998837,22.219594622962177,22.203091557952575,None,e,0,1.4413824989460409,22.203091557952575,None,None,None,0,001,2021_Nov_15_1330,InfinityThesisTest5,2021.2.3,59.93627490446368,
An inch cannot go on forever,e,0,1,1,4,,,,,,,,,,,23.685986608965322,24.18561604397837,24.168729660916142,None,e,1,0.6904828819679096,24.168729660916142,None,None,None,0,001,2021_Nov_15_1330,InfinityThesisTest5,2021.2.3,59.93627490446368,
Time  goes on forever,e,0,2,2,2,,,,,,,,,,,24.88581784197595,25.385984240914695,25.36939328990411,None,e,1,0.48774210398551077,25.36939328990411,None,None,None,0,001,2021_Nov_15_1330,InfinityThesisTest5,2021.2.3,59.93627490446368,
Numbers are finite,i,0,3,3,3,,,,,,,,,,,25.90257891092915,26.402352158911526,26.38490487099625,None,e,0,0.25519598403479904,26.38490487099625,None,None,None,0,001,2021_Nov_15_1330,InfinityThesisTest5,2021.2.3,59.93627490446368,
A minute is infinite,i,0,4,4,0,,,,,,,,,,,26.668555086944252,27.16955839691218,27.152184227015823,None,e,0,0.24005601298995316,27.152184227015823,None,None,None,0,001,2021_Nov_15_1330,InfinityThesisTest5,2021.2.3,59.93627490446368,
