SlowInstructions,Statement,Correct,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowInstrText.started,SlowInstrText.stopped,SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrKey.started,SlowInstrKey.stopped,polygon.started,polygon.stopped,SlowText.started,SlowText.stopped,SlowKey.keys,SlowKey.corr,SlowKey.rt,SlowKey.started,SlowKey.stopped,EndStudyText.started,EndStudyText.stopped,endstudykey.keys,endstudykey.rt,endstudykey.started,endstudykey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",,,0,0,0,0,,,,,10.497908364981413,None,e,1.2444783400278538,10.497908364981413,None,,,,,,,,,,,,,,,,213,001,2021_Nov_21_1213,InfinityThesisTest5,2021.2.3,60.05353391748575,
We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press E to continue,,,0,1,1,1,,,,,11.78178083396051,None,e,0.3396152489585802,11.78178083396051,None,,,,,,,,,,,,,,,,213,001,2021_Nov_21_1213,InfinityThesisTest5,2021.2.3,60.05353391748575,
"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,0,2,2,2,,,,,12.16452472191304,None,e,0.25080410798545927,12.16452472191304,None,,,,,,,,,,,,,,,,213,001,2021_Nov_21_1213,InfinityThesisTest5,2021.2.3,60.05353391748575,
,Time  goes on forever,e,,,,,0,0,0,2,,,,,,,12.49867393495515,12.998793187900446,12.965414864942431,None,e,1,1.6015811680117622,12.49867393495515,None,,,,,,,213,001,2021_Nov_21_1213,InfinityThesisTest5,2021.2.3,60.05353391748575,
,Numbers are finite,i,,,,,0,1,1,3,,,,,,,14.148169080959633,14.649395923945121,14.632208394934423,None,i,1,2.1859440080588683,14.148169080959633,None,,,,,,,213,001,2021_Nov_21_1213,InfinityThesisTest5,2021.2.3,60.05353391748575,
,A minute is infinite,i,,,,,0,2,2,0,,,,,,,16.38246870797593,16.897796880919486,16.864305594936013,None,i,1,1.8136221339227632,16.38246870797593,None,,,,,,,213,001,2021_Nov_21_1213,InfinityThesisTest5,2021.2.3,60.05353391748575,
,An inch cannot go on forever,e,,,,,0,3,3,4,,,,,,,18.215094174956903,18.715846471954137,18.69866999995429,None,e,1,5.1347369509749115,18.215094174956903,None,,,,,,,213,001,2021_Nov_21_1213,InfinityThesisTest5,2021.2.3,60.05353391748575,
,Space has an end,i,,,,,0,4,4,1,,,,,,,23.3825745069189,23.882558379904367,23.865863926010206,None,i,1,2.8389070499688387,23.3825745069189,None,,,,,,,213,001,2021_Nov_21_1213,InfinityThesisTest5,2021.2.3,60.05353391748575,
,,,,,,,,,,,,,,,,,,,,,,,,,,26.26590466289781,None,e,1.686494489083998,26.26590466289781,None,213,001,2021_Nov_21_1213,InfinityThesisTest5,2021.2.3,60.05353391748575,
