FastInstructions,Statement,Correct,SlowInstructions,SpeededBlock.thisRepN,SpeededBlock.thisTrialN,SpeededBlock.thisN,SpeededBlock.thisIndex,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,SlowBlock.thisRepN,SlowBlock.thisTrialN,SlowBlock.thisN,SlowBlock.thisIndex,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,Instr1.started,Instr1.stopped,InstrResponse.keys,InstrResponse.rt,InstrResponse.started,InstrResponse.stopped,fixcross.started,fixcross.stopped,Fasttext.started,Fasttext.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,SlowInstrText.started,SlowInstrText.stopped,SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrKey.started,SlowInstrKey.stopped,polygon.started,polygon.stopped,SlowText.started,SlowText.stopped,SlowKey.keys,SlowKey.corr,SlowKey.rt,SlowKey.started,SlowKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,14.134281632024795,None,e,2.612522362964228,16.115616534021683,None,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Nov_16_1611,InfinityThesisTest5,2021.2.3,60.18194856675734,
"Each statement will appear on your screen for 5 seconds and you will have those 5 seconds to decide if it is true or false before the next statement appears. There will be a timer on your screen and a reminder when you have 2 seconds remaining. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press E to continue",,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,18.783240408054553,None,e,3.7248545669717714,20.766784994048066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Nov_16_1611,InfinityThesisTest5,2021.2.3,60.18194856675734,
"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,24.533767852000892,None,e,3.1960385049460456,26.517209463054314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Nov_16_1611,InfinityThesisTest5,2021.2.3,60.18194856675734,
,A minute is infinite,i,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,29.766851927968673,30.26772610505577,30.251009145053104,None,e,0,0.5871070529101416,30.251009145053104,None,None,None,,,,,,,,,,,,,,,,5,001,2021_Nov_16_1611,InfinityThesisTest5,2021.2.3,60.18194856675734,
,Time  goes on forever,e,,0,0,0,0,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,30.88424925401341,31.38497778296005,31.367781548993662,None,e,1,0.2053107430692762,31.367781548993662,None,None,None,,,,,,,,,,,,,,,,5,001,2021_Nov_16_1611,InfinityThesisTest5,2021.2.3,60.18194856675734,
,An inch cannot go on forever,e,,0,0,0,0,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,31.601851238054223,32.11756373604294,32.10070434305817,None,e,1,0.13414948398713022,32.10070434305817,None,None,None,,,,,,,,,,,,,,,,5,001,2021_Nov_16_1611,InfinityThesisTest5,2021.2.3,60.18194856675734,
,Space has an end,i,,0,0,0,0,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,32.26839909306727,32.7678335349774,32.750910768983886,None,e,0,0.18910705600865185,32.750910768983886,None,None,None,,,,,,,,,,,,,,,,5,001,2021_Nov_16_1611,InfinityThesisTest5,2021.2.3,60.18194856675734,
,Numbers are finite,i,,0,0,0,0,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,32.9678346849978,33.46762581006624,33.45132333901711,None,e,0,0.23281530395615846,33.45132333901711,None,None,None,,,,,,,,,,,,,,,,5,001,2021_Nov_16_1611,InfinityThesisTest5,2021.2.3,60.18194856675734,
,,,"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,33.76842790096998,None,e,1.0452918069204316,33.76842790096998,None,,,,,,,,,,5,001,2021_Nov_16_1611,InfinityThesisTest5,2021.2.3,60.18194856675734,
,,,We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press E to continue,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,34.85198275197763,None,e,0.3497058699140325,34.85198275197763,None,,,,,,,,,,5,001,2021_Nov_16_1611,InfinityThesisTest5,2021.2.3,60.18194856675734,
