SlowInstructions,Statement,Correct,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowInstrText.started,SlowInstrText.stopped,SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrKey.started,SlowInstrKey.stopped,polygon.started,polygon.stopped,SlowText.started,SlowText.stopped,SlowKey.keys,SlowKey.corr,SlowKey.rt,SlowKey.started,SlowKey.stopped,EndStudyText.started,EndStudyText.stopped,endstudykey.keys,endstudykey.rt,endstudykey.started,endstudykey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",,,0,0,0,0,,,,,13.460498159052804,None,e,0.8751674770610407,13.460498159052804,None,,,,,,,,,,,,,,,,212,001,2021_Nov_21_1212,InfinityThesisTest5,2021.2.3,60.038343503964406,
We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press E to continue,,,0,1,1,1,,,,,14.375677307019942,None,e,0.5249051300343126,14.375677307019942,None,,,,,,,,,,,,,,,,212,001,2021_Nov_21_1212,InfinityThesisTest5,2021.2.3,60.038343503964406,
"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,0,2,2,2,,,,,14.942072088946588,None,e,0.3596582979662344,14.942072088946588,None,,,,,,,,,,,,,,,,212,001,2021_Nov_21_1212,InfinityThesisTest5,2021.2.3,60.038343503964406,
,A minute is infinite,i,,,,,0,0,0,0,,,,,,,15.358495004940778,15.859829584951513,15.843353076954372,None,i,1,1.4769353199517354,15.358495004940778,None,,,,,,,212,001,2021_Nov_21_1212,InfinityThesisTest5,2021.2.3,60.038343503964406,
,Numbers are finite,i,,,,,0,1,1,3,,,,,,,16.87696116603911,17.377025985973887,17.359943234943785,None,i,1,6.854209843906574,16.87696116603911,None,,,,,,,212,001,2021_Nov_21_1212,InfinityThesisTest5,2021.2.3,60.038343503964406,
,An inch cannot go on forever,e,,,,,0,2,2,4,,,,,,,23.777364994981326,24.27729066903703,24.24405212898273,None,e,1,4.436722992104478,23.777364994981326,None,,,,,,,212,001,2021_Nov_21_1212,InfinityThesisTest5,2021.2.3,60.038343503964406,
,Time  goes on forever,e,,,,,0,3,3,2,,,,,,,28.26153122598771,28.77575364394579,28.74255520803854,None,e,1,4.053397033945657,28.26153122598771,None,,,,,,,212,001,2021_Nov_21_1212,InfinityThesisTest5,2021.2.3,60.038343503964406,
,Space has an end,i,,,,,0,4,4,1,,,,,,,32.361461700988,32.860670267022215,32.844234136049636,None,i,1,1.75016717298422,32.361461700988,None,,,,,,,212,001,2021_Nov_21_1212,InfinityThesisTest5,2021.2.3,60.038343503964406,
,,,,,,,,,,,,,,,,,,,,,,,,,,34.160977541003376,None,e,1.113495257915929,34.160977541003376,None,212,001,2021_Nov_21_1212,InfinityThesisTest5,2021.2.3,60.038343503964406,
