SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate
space,1.7355,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press F to Continue",,2022-03-31_09h16.14.668,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002
space,0.3232,0,1,1,1,1,We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press F to continue,,2022-03-31_09h16.14.668,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002
space,0.553,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press F to continue",,2022-03-31_09h16.14.668,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002
