SlowInstructions,practicetext,practicecorrect,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,Statement,Correct,SlowInstrText.started,SlowInstrText.stopped,SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrKey.started,SlowInstrKey.stopped,FixcrossPractice.started,FixcrossPractice.stopped,PracticeText.started,PracticeText.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PracticeEndText.started,PracticeEndText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",,,0,0,0,0,,,,,,,,,,,13.464122958001099,None,e,0.6809000039938837,13.464122958001099,None,,,,,,,,,,,,,,,,3,001,2021_Dec_30_1642,InfinityThesisTest5,2021.2.3,59.900490904595834,
We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press E to continue,,,0,1,1,1,,,,,,,,,,,14.180231295002159,None,e,0.549747153010685,14.180231295002159,None,,,,,,,,,,,,,,,,3,001,2021_Dec_30_1642,InfinityThesisTest5,2021.2.3,59.900490904595834,
"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,0,2,2,2,,,,,,,,,,,14.764462947001448,None,e,0.3284046149929054,14.764462947001448,None,,,,,,,,,,,,,,,,3,001,2021_Dec_30_1642,InfinityThesisTest5,2021.2.3,59.900490904595834,
"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. ",,,0,3,3,3,,,,,,,,,,,15.131040977998055,None,e,0.3006576129992027,15.131040977998055,None,,,,,,,,,,,,,,,,3,001,2021_Dec_30_1642,InfinityThesisTest5,2021.2.3,59.900490904595834,
"If the statement is true, press the “E” key on your keyboard with your left pointer finger; if the statement is false, press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,0,4,4,4,,,,,,,,,,,15.480692138007726,None,e,0.3731586719950428,15.480692138007726,None,,,,,,,,,,,,,,,,3,001,2021_Dec_30_1642,InfinityThesisTest5,2021.2.3,59.900490904595834,
,A clock is used to tell time,e,,,,,0,0,0,3,,,,,,,,,,,,,15.92980453799828,16.380565975006903,16.397043146003853,None,e,1,0.29521365600521676,17.8974536510068,None,,,,,,,3,001,2021_Dec_30_1642,InfinityThesisTest5,2021.2.3,59.900490904595834,
,A circle is a shape,e,,,,,0,1,1,0,,,,,,,,,,,,,18.2138758229994,18.66401675999805,18.697867613998824,None,e,1,0.5901908499945421,20.1973858679994,None,,,,,,,3,001,2021_Dec_30_1642,InfinityThesisTest5,2021.2.3,59.900490904595834,
,Mississippi is a country,i,,,,,0,2,2,8,,,,,,,,,,,,,20.830581087997416,21.281076187005965,21.314353164998465,None,e,0,0.01873717800481245,22.814540688006673,None,,,,,,,3,001,2021_Dec_30_1642,InfinityThesisTest5,2021.2.3,59.900490904595834,
,The Earth is a star,i,,,,,0,3,3,7,,,,,,,,,,,,,22.88145443800022,23.33111500099767,23.364423806007835,None,e,0,0.14173957399907522,24.864383991007344,None,,,,,,,3,001,2021_Dec_30_1642,InfinityThesisTest5,2021.2.3,59.900490904595834,
,Magenta is a color,e,,,,,0,4,4,2,,,,,,,,,,,,,25.04741852400184,25.498004367997055,25.514584862001357,None,e,1,0.2835504700051388,27.014693744000397,None,,,,,,,3,001,2021_Dec_30_1642,InfinityThesisTest5,2021.2.3,59.900490904595834,
,Jupiter is the planet we live on,i,,,,,0,5,5,6,,,,,,,,,,,,,27.331084920006106,27.781263997007045,27.814936409005895,None,e,0,0.15702849200170022,29.314828697999474,None,,,,,,,3,001,2021_Dec_30_1642,InfinityThesisTest5,2021.2.3,59.900490904595834,
,Dinosaurs are extinct,e,,,,,0,6,6,1,,,,,,,,,,,,,29.51454938799725,29.96503078599926,29.981475413005683,None,e,1,0.2052220969926566,31.48160741699394,None,,,,,,,3,001,2021_Dec_30_1642,InfinityThesisTest5,2021.2.3,59.900490904595834,
,Humans cannot eat food,i,,,,,0,7,7,9,,,,,,,,,,,,,31.713799385994207,32.16516239200428,32.1981992200017,None,e,0,0.15007756900740787,33.698660534995724,None,,,,,,,3,001,2021_Dec_30_1642,InfinityThesisTest5,2021.2.3,59.900490904595834,
,Humans cannot breathe water,e,,,,,0,8,8,4,,,,,,,,,,,,,33.86493707199406,34.31514557400078,34.34876361400529,None,e,1,0.34057404698978644,35.84889434199431,None,,,,,,,3,001,2021_Dec_30_1642,InfinityThesisTest5,2021.2.3,59.900490904595834,
,A truck is an animal,i,,,,,0,9,9,5,,,,,,,,,,,,,36.21441910399881,36.665471956002875,36.69886879599653,None,e,0,0.4205324110080255,38.199083226994844,None,,,,,,,3,001,2021_Dec_30_1642,InfinityThesisTest5,2021.2.3,59.900490904595834,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.682402795995586,None,e,0.23436228799982928,41.64872183400439,None,3,001,2021_Dec_30_1642,InfinityThesisTest5,2021.2.3,59.900490904595834,
