SlowInstructions,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrText.started,SlowInstrText.stopped,SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrKey.started,SlowInstrKey.stopped,participant,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press F to Continue",0,0,0,0,11.20323388700126,None,f,1.1994951270007732,11.20323388700126,None,1,2022_Feb_17_1309,slow,2021.2.3,59.88436616299001,
We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press F to continue,0,1,1,1,12.452708446000543,None,f,0.37577661300019827,12.452708446000543,None,1,2022_Feb_17_1309,slow,2021.2.3,59.88436616299001,
"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press F to continue",0,2,2,2,12.870980392001002,None,f,0.2606507419986883,12.870980392001002,None,1,2022_Feb_17_1309,slow,2021.2.3,59.88436616299001,
"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press 'F' to continue.",0,3,3,3,13.16961172900119,None,f,0.22803058099998452,13.16961172900119,None,1,2022_Feb_17_1309,slow,2021.2.3,59.88436616299001,
"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press F to continue",0,4,4,4,13.43853046500044,None,f,0.20412623700030963,13.43853046500044,None,1,2022_Feb_17_1309,slow,2021.2.3,59.88436616299001,
