SlowInstructions,n,SlowInstrKey.keys_raw,SlowInstrKey.rt_mean,SlowInstrKey.rt_raw,SlowInstrKey.rt_std,SlowInstrKey.started_mean,SlowInstrKey.started_raw,SlowInstrKey.started_std,SlowInstrKey.stopped_raw,SlowInstrText.started_mean,SlowInstrText.started_raw,SlowInstrText.started_std,SlowInstrText.stopped_raw,order
"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",1.0,'e',4.768155097961426,4.768155097961426,0.0,29.94175148010254,29.94175148010254,0.0,,29.94175148010254,29.94175148010254,0.0,,0.0
We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press E to continue,1.0,'e',3.1955559253692627,3.1955559253692627,0.0,34.757869720458984,34.757869720458984,0.0,,34.757869720458984,34.757869720458984,0.0,,1.0
"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",1.0,'e',3.1309993267059326,3.1309993267059326,0.0,38.00920104980469,38.00920104980469,0.0,,38.00920104980469,38.00920104980469,0.0,,2.0

extraInfo
participant,211
session,001
date,2021_Nov_21_1211
expName,InfinityThesisTest5
psychopyVersion,2021.2.3
frameRate,60.0065414613916
